containerId,id,name,type,detailsSummary,raw
GTM-N26LKHCP,__jsm,Custom JS #25,Custom JavaScript,,"{""function"":""__jsm"",""vtp_javascript"":[""template"",""(function(){var a="",[""escape"",[""macro"",24],8,16],""+"",[""escape"",[""macro"",6],8,16],"";a=a.toLowerCase();a=a.replace(\""/en/\"",\""/\"");a=a.replace(\""www.\"",\""\"").replace(\""qa.\"",\""\"").replace(\""qa-secure.\"",\""\"");a.substring(a.length-1)==\""/\""&&(a=a.substring(0,a.length-1));"",[""escape"",[""macro"",9],8,16],""==\""1\""&&(a+=\""?m\\x3d1\"");return a})();""]}"
GTM-N26LKHCP,__smm,Lookup Table #26,Regex Table,,"{""function"":""__smm"",""vtp_setDefaultValue"":false,""vtp_input"":[""macro"",25],""vtp_map"":[""list"",[""map"",""key"",""discoverycove.com/florida-residents"",""value"",""seawo707""],[""map"",""key"",""discoverycove.com"",""value"",""seawo707""]]}"
GTM-N26LKHCP,__smm,Lookup Table #27,Regex Table,,"{""function"":""__smm"",""vtp_setDefaultValue"":false,""vtp_input"":[""macro"",25],""vtp_map"":[""list"",[""map"",""key"",""discoverycove.com/florida-residents"",""value"",""disco231""],[""map"",""key"",""discoverycove.com"",""value"",""disco553""]]}"
GTM-N26LKHCP,__smm,Lookup Table #28,Regex Table,,"{""function"":""__smm"",""vtp_setDefaultValue"":false,""vtp_input"":[""macro"",25],""vtp_map"":[""list"",[""map"",""key"",""discoverycove.com/florida-residents"",""value"",""4174228""],[""map"",""key"",""discoverycove.com"",""value"",""4174228""]]}"
GTM-N26LKHCP,__jsm,Custom JS #29,Custom JavaScript,,"{""function"":""__jsm"",""vtp_javascript"":[""template"",""(function(){var a=document.location.host,b=document.location.pathname;return a=a.substr(0,a.indexOf(\"".com\""))+\"" \""+b.split(\""/\"")[1]})();""]}"
GTM-N26LKHCP,__jsm,Custom JS #30,Custom JavaScript,,"{""function"":""__jsm"",""vtp_javascript"":[""template"",""(function(){var a="",[""escape"",[""macro"",12],8,16],"";return a.purchase})();""]}"
GTM-N26LKHCP,__jsm,Custom JS #31,Custom JavaScript,,"{""function"":""__jsm"",""vtp_javascript"":[""template"",""(function(){var a="",[""escape"",[""macro"",30],8,16],"";return a.products})();""]}"
GTM-N26LKHCP,__jsm,Custom JS #32,Custom JavaScript,,"{""function"":""__jsm"",""vtp_javascript"":[""template"",""(function(){var b="",[""escape"",[""macro"",31],8,16],"",d=[],a,c,e=\""|\"";if(b){for(a=0;a<b.length;a++)for(c=0;c<b[a].quantity;c++)d.push(b[a].id);return d.join(e)}})();""]}"
GTM-N26LKHCP,__jsm,Custom JS #33,Custom JavaScript,,"{""function"":""__jsm"",""vtp_javascript"":[""template"",""(function(){var a="",[""escape"",[""macro"",31],8,16],"",d=[],b,c,e=\""|\"";if(a||!(a.length<1)){for(b=0;b<a.length;b++)for(c=0;c<a[b].quantity;c++)d.push(a[b].price);return d.join(e)}})();""]}"
GTM-N26LKHCP,__jsm,Custom JS #34,Custom JavaScript,,"{""function"":""__jsm"",""vtp_javascript"":[""template"",""(function(){return decodeURIComponent("",[""escape"",[""macro"",12],8,16],"".purchase.actionField.revenue.toString())})();""]}"
GTM-N26LKHCP,__u,URL - PATH,URL,URL component: PATH,"{""function"":""__u"",""vtp_component"":""PATH"",""vtp_enableMultiQueryKeys"":false,""vtp_enableIgnoreEmptyQueryParam"":false}"
GTM-N26LKHCP,__r,Random Number,Random Number,,"{""function"":""__r""}"
